Ref,Val,Package,PosX,PosY,Rot,Side
"R92","10","R_0805_2012Metric",76.000000,-160.450000,90.000000,top
"R93","10","R_0805_2012Metric",76.000000,-188.220000,90.000000,top
"R94","47","R_0805_2012Metric",37.000000,-40.950000,0.000000,top
"R95","47","R_0805_2012Metric",37.000000,-47.950000,0.000000,top
"R96","47","R_0805_2012Metric",37.000000,-68.640000,0.000000,top
"R97","47","R_0805_2012Metric",37.000000,-75.640000,0.000000,top
"R98","47","R_0805_2012Metric",37.000000,-96.320000,0.000000,top
"R99","47","R_0805_2012Metric",37.000000,-103.320000,0.000000,top
"R100","47","R_0805_2012Metric",37.000000,-124.140000,0.000000,top
"R101","47","R_0805_2012Metric",37.000000,-131.140000,0.000000,top
"R102","47","R_0805_2012Metric",37.000000,-151.950000,0.000000,top
"R103","47","R_0805_2012Metric",37.000000,-158.950000,0.000000,top
"R104","47","R_0805_2012Metric",37.000000,-179.720000,0.000000,top
"R105","47","R_0805_2012Metric",37.000000,-186.720000,0.000000,top
"R106","10k","R_0805_2012Metric",72.000000,-20.000000,0.000000,top
"R107","100k","R_0805_2012Metric",76.000000,-20.000000,0.000000,top
"R108","10k","R_0805_2012Metric",96.000000,-44.450000,0.000000,top
"R109","10k","R_0805_2012Metric",96.000000,-72.140000,0.000000,top
"R110","10k","R_0805_2012Metric",96.000000,-99.820000,0.000000,top
"R111","10k","R_0805_2012Metric",96.000000,-127.640000,0.000000,top
"R112","10k","R_0805_2012Metric",96.000000,-155.450000,0.000000,top
"R113","10k","R_0805_2012Metric",96.000000,-183.220000,0.000000,top
"SW1","ALWAYS/REMOTE","SW_E-Switch_EG1224_SPDT_Angled",53.880000,-6.790000,180.000000,top
"SW2","Gain CH1","SW_DIP_SPSTx03_Slide_Omron_A6S-310x_W8.9mm_P2.54mm",55.000000,-28.450000,0.000000,top
"SW3","Gain CH2","SW_DIP_SPSTx03_Slide_Omron_A6S-310x_W8.9mm_P2.54mm",55.000000,-56.140000,0.000000,top
"SW4","Gain CH3","SW_DIP_SPSTx03_Slide_Omron_A6S-310x_W8.9mm_P2.54mm",55.000000,-83.820000,0.000000,top
"SW5","Gain CH4","SW_DIP_SPSTx03_Slide_Omron_A6S-310x_W8.9mm_P2.54mm",55.000000,-111.640000,0.000000,top
"SW6","Gain CH5","SW_DIP_SPSTx03_Slide_Omron_A6S-310x_W8.9mm_P2.54mm",55.000000,-139.450000,0.000000,top
"SW7","Gain CH6","SW_DIP_SPSTx03_Slide_Omron_A6S-310x_W8.9mm_P2.54mm",55.000000,-167.220000,0.000000,top
"U1","TEL5-2422","TEL5_DUAL_TRP",88.000000,-19.000000,90.000000,top
